Site,Year,Week,Org Code,Org Name,Mch Code,Criticality,Priority Id,Object Description,Wo No,Actual Reg Date,Actual Start Date,Actual Finish Date,Reaction Hours,Repair Hours,Downtime Hours,Err Cause,Err Cause Descr,Err Type,Err Type Descr,Performed Action Id,Performed Action Descr,Err Class,Err Class Descr,Work Type Category,Work Type Id,Work Type Descr,Wo Status Id
AEAD,2023,202325,MAINT,Maintenance,004-0203-00,2,1,DISSOLVER[FLOOR MOUNTED],791144,01-04-22 07:58,19-06-23 15:24,19-06-23 15:24,10663.4,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0201-00,1,1,DISSOLVER,791142,01-04-22 07:58,19-06-23 16:28,19-06-23 16:28,10664.5,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0000-00,3,0,FACTORY [ LOCATION ],427057,19-06-23 14:04,19-06-23 18:00,19-06-23 18:00,3.9,1,0,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0217-00,2,2,"AGITATOR , VARIABLE SPEED",427011,19-06-23 12:11,20-06-23 08:00,20-06-23 08:00,19.8,1,0,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0206-00,1,1,"AGITATOR , CONSTANT SPEED",891122,31-05-23 10:20,20-06-23 08:00,20-06-23 08:00,477.7,3,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,008-0409-00,2,1,DALMEC MANIPULATOR,791211,01-04-22 07:59,20-06-23 08:00,20-06-23 08:00,10680,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0173-00,2,2,HIGH PRESSURE CLEANER PORTABLE,427286,20-06-23 09:33,20-06-23 10:00,20-06-23 10:00,0.4,1,0,C28,Ageing,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0204-00,2,1,"AGITATOR , CONSTANT SPEED",791119,01-04-22 07:58,20-06-23 08:00,20-06-23 10:00,10680,5,2,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,002-0000-00,3,2,ADMIN. BUILDING [LOCATION],427335,20-06-23 11:20,20-06-23 12:00,20-06-23 12:00,0.7,0.5,0,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0000-00,3,2,FACTORY [ LOCATION ],427287,20-06-23 09:34,20-06-23 14:00,20-06-23 14:00,4.4,0.5,0,C23,Condition based maintenanced,T1,Maintenance,P4,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0205-00,1,1,"AGITATOR , CONSTANT SPEED",791121,01-04-22 07:58,20-06-23 11:00,20-06-23 14:00,10683,4,3,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0554-00,1,1,WISPERSOR 10 KL,791210,01-04-22 07:59,20-06-23 15:00,20-06-23 15:00,10687,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0490-00,1,1,SUPERFLOW BUHLER MILL [AGITATOR MILL],791181,01-04-22 07:59,20-06-23 15:00,20-06-23 15:00,10687,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,005-0100-00,0,1,"FIRE PUMP,DIESEL, 82KW",425095,12-06-23 12:22,21-06-23 08:00,21-06-23 08:00,211.6,7,0,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,003-0101-00,2,2,PORT-A-COOL M/C,891119,31-05-23 10:20,21-06-23 08:00,21-06-23 08:00,501.7,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,003-0102-00,2,2,PORT-A-COOL M/C,891120,31-05-23 10:20,21-06-23 10:00,21-06-23 10:00,503.7,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0244-00,1,0,WISPERSOR,427236,20-06-23 06:45,21-06-23 10:19,21-06-23 11:19,27.6,1,1,C5,Improper use,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,016-0101-00,2,2,PUMP[GEAR] 2540,791209,01-04-22 07:59,21-06-23 14:00,21-06-23 14:00,10710,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,011-0014-00,2,2,COMPOSTING MACHINE,433300,22-06-23 08:00,22-06-23 08:00,22-06-23 08:00,0,,0,C28,Ageing,T1,Maintenance,P8,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0207-00,2,1,"AGITATOR , CONSTANT SPEED",891123,31-05-23 10:20,22-06-23 08:00,22-06-23 08:00,525.7,3,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,010-0103-00,1,2,SOLVENT DISTILLATION UNIT,791207,01-04-22 07:59,22-06-23 08:00,22-06-23 08:00,10728,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0546-00,2,2,FIRE DOOR SLIDING Inspection,791193,01-04-22 07:59,22-06-23 08:00,22-06-23 08:00,10728,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0469-00,1,1,INLINE HEATER,791179,01-04-22 07:59,22-06-23 08:00,22-06-23 08:00,10728,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0000-00,3,2,FACTORY [ LOCATION ],427970,22-06-23 09:00,22-06-23 09:00,22-06-23 10:00,0,4,1,C28,Ageing,T1,Maintenance,P4,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0241-00,1,2,DISSOLVER,423993,07-06-23 14:22,22-06-23 11:05,22-06-23 11:05,356.7,0.5,0,C12,Timebased Maintenance,T1,Maintenance,P4,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0245-00,1,1,"WISPERSOR ,",891124,31-05-23 10:20,22-06-23 14:00,22-06-23 14:00,531.7,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,009-0240-00,0,2,DONALDSON POWDER BOOTH,791206,01-04-22 07:59,22-06-23 15:00,22-06-23 15:00,10735,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,003-0404-00,2,2,DIESEL FORKLIFT 45813,425352,13-06-23 08:56,23-06-23 08:00,23-06-23 08:00,239.1,0.5,0,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,002-0000-00,3,2,ADMIN. BUILDING [LOCATION],418018,12-05-23 14:06,23-06-23 08:00,23-06-23 08:00,1001.9,0.5,0,C11,Modifications,T1,Maintenance,P7,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0564-00,2,2,INDUSTRIAL TRUCK - EX-PROOF STACKER 6841013,427964,22-06-23 08:39,23-06-23 08:00,23-06-23 09:00,23.3,1,1,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,006-0101-00,1,2,CAPACITOR BANK,791171,01-04-22 07:59,23-06-23 14:00,23-06-23 14:00,10758,2,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,006-0103-00,1,2,CAPACITOR BANK,791172,01-04-22 07:59,23-06-23 15:00,23-06-23 15:00,10759,2,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0200-00,1,1,DISSOLVER,791132,01-04-22 07:58,23-06-23 08:00,23-06-23 15:00,10752,6,7,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0123-00,1,1,AIR COMPRESSOR[SCREW],791137,01-04-22 07:58,24-06-23 08:00,24-06-23 08:00,10776,2,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0544-00,2,1,INSTRUMENTS CALIBRATION,790562,01-04-22 07:57,24-06-23 08:00,24-06-23 08:00,10776,9,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0423-01,2,2,AIR HANDLING UNIT FILLING,791188,01-04-22 07:59,24-06-23 09:00,24-06-23 09:00,10777,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0025-01,2,2,FACTORY PRODUCTION FAHU -1,791184,01-04-22 07:59,24-06-23 09:00,24-06-23 09:00,10777,1.5,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0000-00,3,2,FACTORY [ LOCATION ],427767,21-06-23 14:08,24-06-23 09:01,24-06-23 09:01,66.9,0.5,0,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0423-02,2,2,AIR HANDLING UNIT FILLING,791189,01-04-22 07:59,24-06-23 10:00,24-06-23 10:00,10778,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0028-01,2,2,FACTORY TINTING FAHU -2,791187,01-04-22 07:59,24-06-23 10:00,24-06-23 10:00,10778,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0423-05,2,2,AIR HANDLING UNIT FILLING,791192,01-04-22 07:59,24-06-23 12:00,24-06-23 12:00,10780,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0423-04,2,2,AIR HANDLING UNIT FILLING,791191,01-04-22 07:59,24-06-23 13:00,24-06-23 13:00,10781,2,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0200-00,1,1,DISSOLVER,791133,01-04-22 07:58,24-06-23 14:55,24-06-23 14:55,10782.9,17,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0200-01,1,2,"DISSOLVER TANK , SS, 2000LTR",424504,09-06-23 09:14,24-06-23 14:58,24-06-23 14:58,365.7,14.5,0,C4,Lack of cleaning.,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0423-03,2,2,AIR HANDLING UNIT FILLING,791190,01-04-22 07:59,24-06-23 15:00,24-06-23 15:00,10783,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0554-00,1,0,WISPERSOR 10 KL,428566,24-06-23 15:00,24-06-23 15:00,24-06-23 16:00,0,2,1,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202325,MAINT,Maintenance,004-0554-00,1,2,WISPERSOR 10 KL,427582,21-06-23 07:19,24-06-23 14:07,24-06-23 16:00,78.8,7,1.9,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202326,MAINT,Maintenance,008-0000-00,3,2,PRODUCTION OFFICE AREA [LOCATION ],428100,22-06-23 16:01,26-06-23 08:00,26-06-23 08:00,88,,0,C11,Modifications,T1,Maintenance,P7,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202326,MAINT,Maintenance,004-0200-00,1,1,DISSOLVER,416197,05-05-23 09:47,28-06-23 08:00,28-06-23 08:00,1294.2,,0,C11,Modifications,T1,Maintenance,P7,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202326,MAINT,Maintenance,004-PROJ-00,3,2,PROJECTS GENERAL SITE,413769,24-04-23 15:56,01-05-23 08:00,01-07-23 00:00,160.1,48,1456,C10,Project Work,T1,Maintenance,P5,,CL7,Maintenance,Projects Modification,INV,Investment,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0505-00,0,2,ROOF FAN,433635,03-07-23 08:00,03-07-23 08:00,03-07-23 08:00,0,,0,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,011-0000-00,3,2,CANTEEN [LOCATION],428694,26-06-23 13:54,03-07-23 08:00,03-07-23 08:00,162.1,1.5,0,C5,Improper use,T1,Maintenance,P4,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0201-02,1,1,"DISSOLVER TANK , SS , 3000 LTR",428040,22-06-23 13:16,03-07-23 08:00,03-07-23 08:00,258.7,1,0,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0501-00,0,1,"ROOF FAN, FUME EXTRACTION",791287,01-04-22 07:59,03-07-23 08:00,03-07-23 08:00,10992,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0221-00,2,2,"AGITATOR , VARIABLE SPEED",791285,01-04-22 07:59,03-07-23 08:00,03-07-23 08:00,10992,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0444-00,1,1,THINNER FILLING M/C,791260,01-04-22 07:59,03-07-23 08:00,03-07-23 08:00,10992,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0207-00,2,2,"AGITATOR , CONSTANT SPEED",791265,01-04-22 07:59,03-07-23 08:00,03-07-23 08:00,10992,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0107-00,2,2,PARKER FILTER,791255,01-04-22 07:59,03-07-23 08:00,03-07-23 08:00,10992,2,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0422-00,1,1,DISSOLVER 60HP [OLD],791257,01-04-22 07:59,03-07-23 08:00,03-07-23 08:00,10992,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0424-00,0,1,DUST  EXTRACTION  SYSTEM [ CHEMFLAKE],791258,01-04-22 07:59,03-07-23 08:00,03-07-23 08:00,10992,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0425-00,0,1,DUST  EXTRACTION  SYSTEM [ PRODUCTION ],791259,01-04-22 07:59,03-07-23 08:00,03-07-23 08:00,10992,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0453-00,2,2,20LTR PRESSING  UNIT,791218,01-04-22 07:59,03-07-23 08:00,03-07-23 08:00,10992,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0456-00,2,2,4LIT PRESSING  UNIT,791219,01-04-22 07:59,03-07-23 08:00,03-07-23 08:00,10992,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,005-0000-00,3,1,PUMP HOUSE [LOCATION],429699,03-07-23 11:00,03-07-23 11:00,03-07-23 12:30,0,1.5,1.5,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,003-0420-00,2,2,INDUSTRIAL PALLET TRUCK 6737185,429607,03-07-23 08:12,03-07-23 12:44,03-07-23 12:44,4.5,0.5,0,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,003-0416-00,2,2,INDUSTRIAL PALLET TRUCK 6531263,430036,04-07-23 08:00,04-07-23 08:00,04-07-23 08:00,0,,0,C5,Improper use,T1,Maintenance,P4,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0175-00,2,1,INDUSTRIAL TRUCK PALLETIZE EQUIPMENT(EX),429744,03-07-23 14:09,04-07-23 08:00,04-07-23 08:00,17.8,1.5,0,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0502-00,0,1,ROOF FAN,791288,01-04-22 07:59,04-07-23 08:00,04-07-23 08:00,11016,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0503-00,0,1,ROOF FAN,791289,01-04-22 07:59,04-07-23 08:00,04-07-23 08:00,11016,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0504-00,0,1,ROOF FAN,791290,01-04-22 07:59,04-07-23 08:00,04-07-23 08:00,11016,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0505-00,0,1,ROOF FAN,791291,01-04-22 07:59,04-07-23 08:00,04-07-23 08:00,11016,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0445-00,1,1,DEVREE  AUTOMATIC FILLING M/C,791261,01-04-22 07:59,04-07-23 08:00,04-07-23 08:00,11016,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0447-00,1,2,PNEUMATIC  PUMP  AND  FILTERING  GROUP,791262,01-04-22 07:59,04-07-23 08:00,04-07-23 08:00,11016,2,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0116-00,2,2,DIAPHRAGM PUMP,791221,01-04-22 07:59,04-07-23 08:00,04-07-23 08:00,11016,1.5,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0318-00,1,2,DEVREE FILLING M/C,429954,04-07-23 09:36,04-07-23 10:09,04-07-23 11:10,0.6,1,1,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,010-0104-00,2,2,POT WASHING UNIT FOR RECLAIMER,429909,04-07-23 07:21,04-07-23 08:00,04-07-23 12:00,0.6,4,4,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0297-00,2,1,"SCALE , ELECTRICAL EX-2000KG X .2 KG",429748,03-07-23 14:26,04-07-23 11:07,04-07-23 12:30,20.7,1.5,1.4,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,011-0000-00,3,2,CANTEEN [LOCATION],430204,05-07-23 05:30,05-07-23 05:30,05-07-23 06:30,0,1.5,1,C24,Weather,T1,Maintenance,P1,,CL7,Maintenance,Corrective Acute,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0000-00,3,2,FACTORY [ LOCATION ],430208,05-07-23 07:07,05-07-23 07:10,05-07-23 07:45,0,1,0.6,C28,Ageing,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0445-00,1,2,DEVREE  AUTOMATIC FILLING M/C,433695,05-07-23 08:00,05-07-23 08:00,05-07-23 08:00,0,1,0,C4,Lack of cleaning.,T1,Maintenance,P4,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0565-00,2,2,HIGH PRESSURE CLEANING MACHINE,902465,05-07-23 08:00,05-07-23 08:00,05-07-23 08:00,0,2,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0177-00,2,1,ADDTIVE STATION REXSON COLOUR WEIGH,428222,23-06-23 10:56,05-07-23 08:00,05-07-23 08:00,285.1,1.5,0,C23,Condition based maintenanced,T1,Maintenance,P4,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0000-00,3,1,FACTORY [ LOCATION ],415949,04-05-23 11:41,05-07-23 08:00,05-07-23 08:00,1484.3,,0,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,012-0000-00,3,2,WARE HOUSE 1 [LOCATION],398953,16-02-23 10:41,05-07-23 08:00,05-07-23 08:00,3333.3,,0,C11,Modifications,T1,Maintenance,P7,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0506-00,0,1,ROOF FAN,791292,01-04-22 07:59,05-07-23 08:00,05-07-23 08:00,11040,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0507-00,0,1,ROOF FAN,791293,01-04-22 07:59,05-07-23 08:00,05-07-23 08:00,11040,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0508-00,0,1,"FAN,DUST EXTRACTION",791294,01-04-22 07:59,05-07-23 08:00,05-07-23 08:00,11040,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0509-00,0,1,"FAN,DUST EXTRACTION",791295,01-04-22 07:59,05-07-23 08:00,05-07-23 08:00,11040,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0241-00,1,1,DISSOLVER,791268,01-04-22 07:59,05-07-23 08:00,05-07-23 08:00,11040,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0244-00,1,1,WISPERSOR,791269,01-04-22 07:59,05-07-23 08:00,05-07-23 08:00,11040,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202327,MAINT,Maintenance,004-0140-00,2,1,RUSSEL ECO FILTER UNIT,791264,01-04-22 07:59,05-07-23 08:00,05-07-23 08:00,11040,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
